PDMS_fraction,CdO_fraction,B4C_fraction,Gd2O3_fraction,Composition_Formula,Theoretical_Density,Density_Calculation
90,0,7,3,90C2H6OSi+0CdO+7B4C+3Gd2O3,1.2672,(90 * 0.965) + (0 * 8.15) + (7 * 2.52) + (3 * 7.41) / 100
89,0,7,4,89C2H6OSi+0CdO+7B4C+4Gd2O3,1.33165,(89 * 0.965) + (0 * 8.15) + (7 * 2.52) + (4 * 7.41) / 100
88,0,7,5,88C2H6OSi+0CdO+7B4C+5Gd2O3,1.3961,(88 * 0.965) + (0 * 8.15) + (7 * 2.52) + (5 * 7.41) / 100
87,0,7,6,87C2H6OSi+0CdO+7B4C+6Gd2O3,1.46055,(87 * 0.965) + (0 * 8.15) + (7 * 2.52) + (6 * 7.41) / 100
86,0,7,7,86C2H6OSi+0CdO+7B4C+7Gd2O3,1.525,(86 * 0.965) + (0 * 8.15) + (7 * 2.52) + (7 * 7.41) / 100
85,0,7,8,85C2H6OSi+0CdO+7B4C+8Gd2O3,1.58945,(85 * 0.965) + (0 * 8.15) + (7 * 2.52) + (8 * 7.41) / 100
84,0,7,9,84C2H6OSi+0CdO+7B4C+9Gd2O3,1.6539,(84 * 0.965) + (0 * 8.15) + (7 * 2.52) + (9 * 7.41) / 100
83,0,7,10,83C2H6OSi+0CdO+7B4C+10Gd2O3,1.71835,(83 * 0.965) + (0 * 8.15) + (7 * 2.52) + (10 * 7.41) / 100
82,0,7,11,82C2H6OSi+0CdO+7B4C+11Gd2O3,1.7828,(82 * 0.965) + (0 * 8.15) + (7 * 2.52) + (11 * 7.41) / 100
81,0,7,12,81C2H6OSi+0CdO+7B4C+12Gd2O3,1.84725,(81 * 0.965) + (0 * 8.15) + (7 * 2.52) + (12 * 7.41) / 100
80,0,7,13,80C2H6OSi+0CdO+7B4C+13Gd2O3,1.9117,(80 * 0.965) + (0 * 8.15) + (7 * 2.52) + (13 * 7.41) / 100
92,0,8,0,92C2H6OSi+0CdO+8B4C+0Gd2O3,1.0894,(92 * 0.965) + (0 * 8.15) + (8 * 2.52) + (0 * 7.41) / 100
91,0,8,1,91C2H6OSi+0CdO+8B4C+1Gd2O3,1.15385,(91 * 0.965) + (0 * 8.15) + (8 * 2.52) + (1 * 7.41) / 100
90,0,8,2,90C2H6OSi+0CdO+8B4C+2Gd2O3,1.2183,(90 * 0.965) + (0 * 8.15) + (8 * 2.52) + (2 * 7.41) / 100
89,0,8,3,89C2H6OSi+0CdO+8B4C+3Gd2O3,1.28275,(89 * 0.965) + (0 * 8.15) + (8 * 2.52) + (3 * 7.41) / 100
88,0,8,4,88C2H6OSi+0CdO+8B4C+4Gd2O3,1.3472,(88 * 0.965) + (0 * 8.15) + (8 * 2.52) + (4 * 7.41) / 100
87,0,8,5,87C2H6OSi+0CdO+8B4C+5Gd2O3,1.41165,(87 * 0.965) + (0 * 8.15) + (8 * 2.52) + (5 * 7.41) / 100
86,0,8,6,86C2H6OSi+0CdO+8B4C+6Gd2O3,1.4761,(86 * 0.965) + (0 * 8.15) + (8 * 2.52) + (6 * 7.41) / 100
85,0,8,7,85C2H6OSi+0CdO+8B4C+7Gd2O3,1.54055,(85 * 0.965) + (0 * 8.15) + (8 * 2.52) + (7 * 7.41) / 100
84,0,8,8,84C2H6OSi+0CdO+8B4C+8Gd2O3,1.605,(84 * 0.965) + (0 * 8.15) + (8 * 2.52) + (8 * 7.41) / 100
83,0,8,9,83C2H6OSi+0CdO+8B4C+9Gd2O3,1.66945,(83 * 0.965) + (0 * 8.15) + (8 * 2.52) + (9 * 7.41) / 100
82,0,8,10,82C2H6OSi+0CdO+8B4C+10Gd2O3,1.7339,(82 * 0.965) + (0 * 8.15) + (8 * 2.52) + (10 * 7.41) / 100
81,0,8,11,81C2H6OSi+0CdO+8B4C+11Gd2O3,1.79835,(81 * 0.965) + (0 * 8.15) + (8 * 2.52) + (11 * 7.41) / 100
80,0,8,12,80C2H6OSi+0CdO+8B4C+12Gd2O3,1.8628,(80 * 0.965) + (0 * 8.15) + (8 * 2.52) + (12 * 7.41) / 100
91,0,9,0,91C2H6OSi+0CdO+9B4C+0Gd2O3,1.10495,(91 * 0.965) + (0 * 8.15) + (9 * 2.52) + (0 * 7.41) / 100
90,0,9,1,90C2H6OSi+0CdO+9B4C+1Gd2O3,1.1694,(90 * 0.965) + (0 * 8.15) + (9 * 2.52) + (1 * 7.41) / 100
89,0,9,2,89C2H6OSi+0CdO+9B4C+2Gd2O3,1.23385,(89 * 0.965) + (0 * 8.15) + (9 * 2.52) + (2 * 7.41) / 100
88,0,9,3,88C2H6OSi+0CdO+9B4C+3Gd2O3,1.2983,(88 * 0.965) + (0 * 8.15) + (9 * 2.52) + (3 * 7.41) / 100
87,0,9,4,87C2H6OSi+0CdO+9B4C+4Gd2O3,1.36275,(87 * 0.965) + (0 * 8.15) + (9 * 2.52) + (4 * 7.41) / 100
86,0,9,5,86C2H6OSi+0CdO+9B4C+5Gd2O3,1.4272,(86 * 0.965) + (0 * 8.15) + (9 * 2.52) + (5 * 7.41) / 100
85,0,9,6,85C2H6OSi+0CdO+9B4C+6Gd2O3,1.49165,(85 * 0.965) + (0 * 8.15) + (9 * 2.52) + (6 * 7.41) / 100
84,0,9,7,84C2H6OSi+0CdO+9B4C+7Gd2O3,1.5561,(84 * 0.965) + (0 * 8.15) + (9 * 2.52) + (7 * 7.41) / 100
83,0,9,8,83C2H6OSi+0CdO+9B4C+8Gd2O3,1.62055,(83 * 0.965) + (0 * 8.15) + (9 * 2.52) + (8 * 7.41) / 100
82,0,9,9,82C2H6OSi+0CdO+9B4C+9Gd2O3,1.685,(82 * 0.965) + (0 * 8.15) + (9 * 2.52) + (9 * 7.41) / 100
81,0,9,10,81C2H6OSi+0CdO+9B4C+10Gd2O3,1.74945,(81 * 0.965) + (0 * 8.15) + (9 * 2.52) + (10 * 7.41) / 100
80,0,9,11,80C2H6OSi+0CdO+9B4C+11Gd2O3,1.8139,(80 * 0.965) + (0 * 8.15) + (9 * 2.52) + (11 * 7.41) / 100
90,0,10,0,90C2H6OSi+0CdO+10B4C+0Gd2O3,1.1205,(90 * 0.965) + (0 * 8.15) + (10 * 2.52) + (0 * 7.41) / 100
89,0,10,1,89C2H6OSi+0CdO+10B4C+1Gd2O3,1.18495,(89 * 0.965) + (0 * 8.15) + (10 * 2.52) + (1 * 7.41) / 100
88,0,10,2,88C2H6OSi+0CdO+10B4C+2Gd2O3,1.2494,(88 * 0.965) + (0 * 8.15) + (10 * 2.52) + (2 * 7.41) / 100
87,0,10,3,87C2H6OSi+0CdO+10B4C+3Gd2O3,1.31385,(87 * 0.965) + (0 * 8.15) + (10 * 2.52) + (3 * 7.41) / 100
86,0,10,4,86C2H6OSi+0CdO+10B4C+4Gd2O3,1.3783,(86 * 0.965) + (0 * 8.15) + (10 * 2.52) + (4 * 7.41) / 100
85,0,10,5,85C2H6OSi+0CdO+10B4C+5Gd2O3,1.44275,(85 * 0.965) + (0 * 8.15) + (10 * 2.52) + (5 * 7.41) / 100
84,0,10,6,84C2H6OSi+0CdO+10B4C+6Gd2O3,1.5072,(84 * 0.965) + (0 * 8.15) + (10 * 2.52) + (6 * 7.41) / 100
83,0,10,7,83C2H6OSi+0CdO+10B4C+7Gd2O3,1.57165,(83 * 0.965) + (0 * 8.15) + (10 * 2.52) + (7 * 7.41) / 100
82,0,10,8,82C2H6OSi+0CdO+10B4C+8Gd2O3,1.6361,(82 * 0.965) + (0 * 8.15) + (10 * 2.52) + (8 * 7.41) / 100
81,0,10,9,81C2H6OSi+0CdO+10B4C+9Gd2O3,1.70055,(81 * 0.965) + (0 * 8.15) + (10 * 2.52) + (9 * 7.41) / 100
80,0,10,10,80C2H6OSi+0CdO+10B4C+10Gd2O3,1.765,(80 * 0.965) + (0 * 8.15) + (10 * 2.52) + (10 * 7.41) / 100
89,0,11,0,89C2H6OSi+0CdO+11B4C+0Gd2O3,1.13605,(89 * 0.965) + (0 * 8.15) + (11 * 2.52) + (0 * 7.41) / 100
88,0,11,1,88C2H6OSi+0CdO+11B4C+1Gd2O3,1.2005,(88 * 0.965) + (0 * 8.15) + (11 * 2.52) + (1 * 7.41) / 100
87,0,11,2,87C2H6OSi+0CdO+11B4C+2Gd2O3,1.26495,(87 * 0.965) + (0 * 8.15) + (11 * 2.52) + (2 * 7.41) / 100
86,0,11,3,86C2H6OSi+0CdO+11B4C+3Gd2O3,1.3294,(86 * 0.965) + (0 * 8.15) + (11 * 2.52) + (3 * 7.41) / 100
85,0,11,4,85C2H6OSi+0CdO+11B4C+4Gd2O3,1.39385,(85 * 0.965) + (0 * 8.15) + (11 * 2.52) + (4 * 7.41) / 100
84,0,11,5,84C2H6OSi+0CdO+11B4C+5Gd2O3,1.4583,(84 * 0.965) + (0 * 8.15) + (11 * 2.52) + (5 * 7.41) / 100
83,0,11,6,83C2H6OSi+0CdO+11B4C+6Gd2O3,1.52275,(83 * 0.965) + (0 * 8.15) + (11 * 2.52) + (6 * 7.41) / 100
82,0,11,7,82C2H6OSi+0CdO+11B4C+7Gd2O3,1.5872,(82 * 0.965) + (0 * 8.15) + (11 * 2.52) + (7 * 7.41) / 100
81,0,11,8,81C2H6OSi+0CdO+11B4C+8Gd2O3,1.65165,(81 * 0.965) + (0 * 8.15) + (11 * 2.52) + (8 * 7.41) / 100
80,0,11,9,80C2H6OSi+0CdO+11B4C+9Gd2O3,1.7161,(80 * 0.965) + (0 * 8.15) + (11 * 2.52) + (9 * 7.41) / 100
88,0,12,0,88C2H6OSi+0CdO+12B4C+0Gd2O3,1.1516,(88 * 0.965) + (0 * 8.15) + (12 * 2.52) + (0 * 7.41) / 100
87,0,12,1,87C2H6OSi+0CdO+12B4C+1Gd2O3,1.21605,(87 * 0.965) + (0 * 8.15) + (12 * 2.52) + (1 * 7.41) / 100
86,0,12,2,86C2H6OSi+0CdO+12B4C+2Gd2O3,1.2805,(86 * 0.965) + (0 * 8.15) + (12 * 2.52) + (2 * 7.41) / 100
85,0,12,3,85C2H6OSi+0CdO+12B4C+3Gd2O3,1.34495,(85 * 0.965) + (0 * 8.15) + (12 * 2.52) + (3 * 7.41) / 100
84,0,12,4,84C2H6OSi+0CdO+12B4C+4Gd2O3,1.4094,(84 * 0.965) + (0 * 8.15) + (12 * 2.52) + (4 * 7.41) / 100
83,0,12,5,83C2H6OSi+0CdO+12B4C+5Gd2O3,1.47385,(83 * 0.965) + (0 * 8.15) + (12 * 2.52) + (5 * 7.41) / 100
82,0,12,6,82C2H6OSi+0CdO+12B4C+6Gd2O3,1.5383,(82 * 0.965) + (0 * 8.15) + (12 * 2.52) + (6 * 7.41) / 100
81,0,12,7,81C2H6OSi+0CdO+12B4C+7Gd2O3,1.60275,(81 * 0.965) + (0 * 8.15) + (12 * 2.52) + (7 * 7.41) / 100
80,0,12,8,80C2H6OSi+0CdO+12B4C+8Gd2O3,1.6672,(80 * 0.965) + (0 * 8.15) + (12 * 2.52) + (8 * 7.41) / 100
87,0,13,0,87C2H6OSi+0CdO+13B4C+0Gd2O3,1.16715,(87 * 0.965) + (0 * 8.15) + (13 * 2.52) + (0 * 7.41) / 100
86,0,13,1,86C2H6OSi+0CdO+13B4C+1Gd2O3,1.2316,(86 * 0.965) + (0 * 8.15) + (13 * 2.52) + (1 * 7.41) / 100
85,0,13,2,85C2H6OSi+0CdO+13B4C+2Gd2O3,1.29605,(85 * 0.965) + (0 * 8.15) + (13 * 2.52) + (2 * 7.41) / 100
84,0,13,3,84C2H6OSi+0CdO+13B4C+3Gd2O3,1.3605,(84 * 0.965) + (0 * 8.15) + (13 * 2.52) + (3 * 7.41) / 100
83,0,13,4,83C2H6OSi+0CdO+13B4C+4Gd2O3,1.42495,(83 * 0.965) + (0 * 8.15) + (13 * 2.52) + (4 * 7.41) / 100
82,0,13,5,82C2H6OSi+0CdO+13B4C+5Gd2O3,1.4894,(82 * 0.965) + (0 * 8.15) + (13 * 2.52) + (5 * 7.41) / 100
81,0,13,6,81C2H6OSi+0CdO+13B4C+6Gd2O3,1.55385,(81 * 0.965) + (0 * 8.15) + (13 * 2.52) + (6 * 7.41) / 100
80,0,13,7,80C2H6OSi+0CdO+13B4C+7Gd2O3,1.6183,(80 * 0.965) + (0 * 8.15) + (13 * 2.52) + (7 * 7.41) / 100
86,0,14,0,86C2H6OSi+0CdO+14B4C+0Gd2O3,1.1827,(86 * 0.965) + (0 * 8.15) + (14 * 2.52) + (0 * 7.41) / 100
85,0,14,1,85C2H6OSi+0CdO+14B4C+1Gd2O3,1.24715,(85 * 0.965) + (0 * 8.15) + (14 * 2.52) + (1 * 7.41) / 100
84,0,14,2,84C2H6OSi+0CdO+14B4C+2Gd2O3,1.3116,(84 * 0.965) + (0 * 8.15) + (14 * 2.52) + (2 * 7.41) / 100
83,0,14,3,83C2H6OSi+0CdO+14B4C+3Gd2O3,1.37605,(83 * 0.965) + (0 * 8.15) + (14 * 2.52) + (3 * 7.41) / 100
82,0,14,4,82C2H6OSi+0CdO+14B4C+4Gd2O3,1.4405,(82 * 0.965) + (0 * 8.15) + (14 * 2.52) + (4 * 7.41) / 100
81,0,14,5,81C2H6OSi+0CdO+14B4C+5Gd2O3,1.50495,(81 * 0.965) + (0 * 8.15) + (14 * 2.52) + (5 * 7.41) / 100
80,0,14,6,80C2H6OSi+0CdO+14B4C+6Gd2O3,1.5694,(80 * 0.965) + (0 * 8.15) + (14 * 2.52) + (6 * 7.41) / 100
85,0,15,0,85C2H6OSi+0CdO+15B4C+0Gd2O3,1.19825,(85 * 0.965) + (0 * 8.15) + (15 * 2.52) + (0 * 7.41) / 100
84,0,15,1,84C2H6OSi+0CdO+15B4C+1Gd2O3,1.2627,(84 * 0.965) + (0 * 8.15) + (15 * 2.52) + (1 * 7.41) / 100
83,0,15,2,83C2H6OSi+0CdO+15B4C+2Gd2O3,1.32715,(83 * 0.965) + (0 * 8.15) + (15 * 2.52) + (2 * 7.41) / 100
82,0,15,3,82C2H6OSi+0CdO+15B4C+3Gd2O3,1.3916,(82 * 0.965) + (0 * 8.15) + (15 * 2.52) + (3 * 7.41) / 100
81,0,15,4,81C2H6OSi+0CdO+15B4C+4Gd2O3,1.45605,(81 * 0.965) + (0 * 8.15) + (15 * 2.52) + (4 * 7.41) / 100
80,0,15,5,80C2H6OSi+0CdO+15B4C+5Gd2O3,1.5205,(80 * 0.965) + (0 * 8.15) + (15 * 2.52) + (5 * 7.41) / 100
84,0,16,0,84C2H6OSi+0CdO+16B4C+0Gd2O3,1.2138,(84 * 0.965) + (0 * 8.15) + (16 * 2.52) + (0 * 7.41) / 100
83,0,16,1,83C2H6OSi+0CdO+16B4C+1Gd2O3,1.27825,(83 * 0.965) + (0 * 8.15) + (16 * 2.52) + (1 * 7.41) / 100
